canal21:	résultats
fichier 	OUED MAZOUZ.kan 
abcisse = 	    0.0	m
cote = 	    0.0	m
nombre de pas =	500
débit =	   21.0	m3/s
choixtopo =	amont
aval =	  nodef 	m
amont =	 1.1980	m
départs éventuels de branches torrentielles : 1
nø	1	section	0	X=	   0.000	Hs=	   2.177

Descriptif de la ligne d'eau
no	Elem	x	Zf	Y	V	J	H	Hs	F	reg.	Pm	S	Lm	I	dy/dx	Yc	I-J	HsC	Z	co
.	.	m	m	m	m/s	m/m	m	m	.	.	m	m2	m	m/m	m/m	m	m/m	m	m	Pa
 0	 1	    0.00	  0.000	  1.198	  4.382	 0.0078	  2.177	  2.177	  1.278	tor	  6.396	  4.792	  4.000	  0.050	 -0.066	  1.411	  0.042	  2.117	  1.198	 57.619
20	 1	    2.76	 -0.138	  1.076	  4.878	 0.0106	  2.151	  2.289	  1.501	tor	  6.152	  4.305	  4.000	  0.050	 -0.031	  1.411	  0.039	  2.117	  0.938	 73.046
40	 1	    5.52	 -0.276	  1.006	  5.220	 0.0129	  2.119	  2.395	  1.662	tor	  6.012	  4.023	  4.000	  0.050	 -0.021	  1.411	  0.037	  2.117	  0.730	 84.886
60	 1	    8.28	 -0.414	  0.956	  5.494	 0.0150	  2.080	  2.494	  1.794	tor	  5.911	  3.822	  4.000	  0.050	 -0.016	  1.411	  0.035	  2.117	  0.542	 95.110
80	 1	   11.04	 -0.552	  0.917	  5.726	 0.0169	  2.036	  2.588	  1.909	tor	  5.834	  3.668	  4.000	  0.050	 -0.013	  1.411	  0.033	  2.117	  0.365	104.287
100	 1	   13.80	 -0.690	  0.886	  5.928	 0.0187	  1.987	  2.677	  2.011	tor	  5.771	  3.543	  4.000	  0.050	 -0.010	  1.411	  0.031	  2.117	  0.196	112.677
120	 1	   16.56	 -0.828	  0.860	  6.107	 0.0204	  1.933	  2.761	  2.103	tor	  5.719	  3.439	  4.000	  0.050	 -0.009	  1.411	  0.030	  2.117	  0.032	120.426
140	 1	   19.32	 -0.966	  0.838	  6.268	 0.0220	  1.874	  2.840	  2.187	tor	  5.675	  3.350	  4.000	  0.050	 -0.007	  1.411	  0.028	  2.117	 -0.128	127.626
160	 1	   22.08	 -1.104	  0.819	  6.414	 0.0236	  1.811	  2.915	  2.263	tor	  5.637	  3.274	  4.000	  0.050	 -0.006	  1.411	  0.026	  2.117	 -0.285	134.343
180	 1	   24.84	 -1.242	  0.802	  6.546	 0.0250	  1.744	  2.986	  2.334	tor	  5.604	  3.208	  4.000	  0.050	 -0.006	  1.411	  0.025	  2.117	 -0.440	140.627
200	 1	   27.60	 -1.380	  0.787	  6.667	 0.0264	  1.673	  3.053	  2.399	tor	  5.575	  3.150	  4.000	  0.050	 -0.005	  1.411	  0.024	  2.117	 -0.593	146.514
220	 1	   30.36	 -1.518	  0.775	  6.778	 0.0278	  1.598	  3.116	  2.459	tor	  5.549	  3.098	  4.000	  0.050	 -0.004	  1.411	  0.022	  2.117	 -0.743	152.036
240	 1	   33.12	 -1.656	  0.763	  6.880	 0.0290	  1.520	  3.176	  2.515	tor	  5.526	  3.052	  4.000	  0.050	 -0.004	  1.411	  0.021	  2.117	 -0.893	157.221
260	 1	   35.88	 -1.794	  0.753	  6.975	 0.0302	  1.438	  3.232	  2.567	tor	  5.505	  3.011	  4.000	  0.050	 -0.004	  1.411	  0.020	  2.117	 -1.041	162.091
280	 1	   38.64	 -1.932	  0.743	  7.062	 0.0313	  1.353	  3.285	  2.615	tor	  5.487	  2.974	  4.000	  0.050	 -0.003	  1.411	  0.019	  2.117	 -1.189	166.667
300	 1	   41.40	 -2.070	  0.735	  7.142	 0.0324	  1.265	  3.335	  2.660	tor	  5.470	  2.940	  4.000	  0.050	 -0.003	  1.411	  0.018	  2.117	 -1.335	170.967
320	 1	   44.16	 -2.208	  0.727	  7.217	 0.0334	  1.174	  3.382	  2.702	tor	  5.455	  2.910	  4.000	  0.050	 -0.003	  1.411	  0.017	  2.117	 -1.481	175.008
340	 1	   46.92	 -2.346	  0.721	  7.286	 0.0344	  1.081	  3.427	  2.741	tor	  5.441	  2.882	  4.000	  0.050	 -0.002	  1.411	  0.016	  2.117	 -1.625	178.806
360	 1	   49.68	 -2.484	  0.714	  7.351	 0.0353	  0.984	  3.468	  2.777	tor	  5.428	  2.857	  4.000	  0.050	 -0.002	  1.411	  0.015	  2.117	 -1.770	182.376
380	 1	   52.44	 -2.622	  0.708	  7.411	 0.0362	  0.886	  3.508	  2.811	tor	  5.417	  2.834	  4.000	  0.050	 -0.002	  1.411	  0.014	  2.117	 -1.914	185.730
400	 1	   55.20	 -2.760	  0.703	  7.466	 0.0370	  0.785	  3.545	  2.843	tor	  5.406	  2.813	  4.000	  0.050	 -0.002	  1.411	  0.013	  2.117	 -2.057	188.883
420	 1	   57.96	 -2.898	  0.698	  7.518	 0.0378	  0.681	  3.579	  2.873	tor	  5.397	  2.793	  4.000	  0.050	 -0.002	  1.411	  0.012	  2.117	 -2.200	191.845
440	 1	   60.72	 -3.036	  0.694	  7.567	 0.0385	  0.576	  3.612	  2.900	tor	  5.388	  2.775	  4.000	  0.050	 -0.002	  1.411	  0.011	  2.117	 -2.342	194.628
460	 1	   63.48	 -3.174	  0.690	  7.612	 0.0392	  0.469	  3.643	  2.926	tor	  5.379	  2.759	  4.000	  0.050	 -0.001	  1.411	  0.011	  2.117	 -2.484	197.241
480	 1	   66.24	 -3.312	  0.686	  7.654	 0.0399	  0.360	  3.672	  2.950	tor	  5.372	  2.744	  4.000	  0.050	 -0.001	  1.411	  0.010	  2.117	 -2.626	199.696
500	 1	   69.00	 -3.450	  0.682	  7.693	 0.0405	  0.249	  3.699	  2.973	tor	  5.365	  2.730	  4.000	  0.050	 -0.001	  1.411	  0.010	  2.117	 -2.768	202.001
